title	artist
Memories	Maroon 5
Right by My Side	Nicki Minaj Featuring Chris Brown
Bacc at it Again	Yella Beezy, Gucci Mane & Quavo
Shoota	Playboi Carti Featuring Lil Uzi Vert
Time of Our Lives	Pitbull & Ne-Yo
Pills N Potions	Nicki Minaj
Animals	Maroon 5
Best I Ever Had	Gavin DeGraw
Rotten to the Core	Dove Cameron, Cameron Boyce, Booboo Stewart & Sofia Carson
Team	Iggy Azalea
Comfortable	K Camp
Steal My Girl	One Direction
Life Goes On	Lil Baby Featuring Gunna & Lil Uzi Vert
Ginza	J Balvin
Die For Me	Post Malone Featuring Future & Halsey
Trailerhood	Toby Keith
Slow Hands	Niall Horan
Try Me	DeJ Loaf
BUTTERFLY EFFECT	Travis Scott
Felt Good On My Lips	Tim McGraw
Trap Queen	Fetty Wap
Oh My	DJ Drama Featuring Fabolous, Roscoe Dash & Wiz Khalifa
Death by a Thousand Cuts	Taylor Swift
I’m Ready	AJR
Carry Out	Timbaland Featuring Justin Timberlake
Beautiful Trauma	P!nk
Royals	Lorde
No Worries	Lil Wayne Featuring Detail
Happier	Marshmello & Bastille
California King Bed	Rihanna
Somewhere Else	Toby Keith
No Tellin’	Drake
Drowns the Whiskey	Jason Aldean Featuring Miranda Lambert
I Get It In	Omarion Featuring Gucci Mane
Grove St. Party	Waka Flocka Flame Featuring Kebo Gotti
Futsal Shuffle 2020	Lil Uzi Vert
New Freezer	Rich The Kid Featuring Kendrick Lamar
Make It Back	Juice WRLD
New Rules	Dua Lipa
Like a Cowboy	Randy Houser
Beat This Summer	Brad Paisley
We Are Tonight	Billy Currington
Wish I Knew You	The Revivalists
Burnin’ Up (feat. 2 Chainz) (Gazzo Remix Radio Edit)	Jessie J Featuring 2 Chainz
Crash and Burn	Thomas Rhett
Keep Me in Mind	Zac Brown Band
Glory	Common & John Legend
Say Aah	Trey Songz Featuring Fabolous
Bank Account	21 Savage
Last Christmas	Wham!
​monster	21 Savage
Who Do You Love	The Chainsmokers Featuring 5 Seconds Of Summer
​bad guy	Billie Eilish
Natural	Imagine Dragons
Bad Liar	Selena Gomez
Tip It on Back	Dierks Bentley
In My Feelings	Drake
Money	Cardi B
With You Tonight (Hasta El Amanecer)	Nicky Jam
Shot Clock	Ella Mai
Go Get It	T.I.
Don’t Come Out the House	Metro Boomin Featuring 21 Savage
Part II (On the Run)	Jay Z Featuring Beyonce
Suge	DaBaby
PYD	Justin Bieber Featuring R. Kelly
Angel in Blue Jeans	Train
Temptation	Future
Pontoon	Little Big Town
I Know What You Did Last Summer	Shawn Mendes & Camila Cabello
Say It	Tory Lanez
Fast	Luke Bryan
POWER	Kanye West
1999	Prince
Échame La Culpa	Luis Fonsi & Demi Lovato
​bloodline	Ariana Grande
When We	Tank
Tonight Tonight	Hot Chelle Rae
I Will Never Let You Down	Rita Ora
5 O’Clock	T-Pain Featuring Wiz Khalifa & Lily Allen
Teenage Dream	Glee Cast
Look Alive	Rae Sremmurd
Gorilla	Bruno Mars
Little Talks	Of Monsters And Men
Get It Right	Glee Cast
Sin Pijama	Becky G + Natti Natasha
Scream & Shout	will.i.am & Britney Spears
Purpose	Justin Bieber
I Don’t Like	Chief Keef Featuring Lil Reese
September	Daughtry
Hold You Down	DJ Khaled Featuring Chris Brown, August Alsina, Future & Jeremih
DHL	Frank Ocean
Simple	Florida Georgia Line
Bottoms Up	Trey Songz Featuring Nicki Minaj
Sparks	Hilary Duff
Going Bad	Meek Mill Featuring Drake
Everybody Talks	Neon Trees
Youngblood	5 Seconds Of Summer
A Thousand Bad Times	Post Malone
What Lovers Do	Maroon 5 Featuring SZA
Lonely Eyes	Chris Young
Va Va Voom	Nicki Minaj
I Got You	Bebe Rexha
CoCo	O.T. Genasis
R.I.P.	Young Jeezy Featuring 2 Chainz
Love Someone	Lukas Graham
The Ringer	Eminem
MIDDLE CHILD	J. Cole
Drag Me Down	One Direction
Tapout	Rich Gang Featuring Lil Wayne, Birdman, Future, Mack Maine, Nicki Minaj
All Your Life	The Band Perry
The Git Up	Blanco Brown
Look What God Gave Her	Thomas Rhett
Creepin	Eric Church
Same Damn Time	Future
China	Anuel AA, Daddy Yankee, Karol G, Ozuna & J Balvin
Who Needs Love	Trippie Redd
Come With Me Now	KONGOS
No Sleep	Wiz Khalifa
That Don’t Sound Like You	Lee Brice
Boyfriend	Justin Bieber
No Flex Zone	Rae Sremmurd
Settle Down	No Doubt
Love Me Like You Do	Ellie Goulding
Take It to the Head	DJ Khaled Featuring Chris Brown, Rick Ross, Nicki Minaj & Lil Wayne
Good Feeling	Flo Rida
Southern Comfort Zone	Brad Paisley
Black	Dierks Bentley
FEEL.	Kendrick Lamar
Helium	Sia
Hell to the No	Glee Cast
Billionaire	Travie McCoy Featuring Bruno Mars
Fast Car	Jonas Blue Featuring Dakota
Love More	Chris Brown Featuring Nicki Minaj
Into You	Ariana Grande
All On Me	Devin Dawson
Mind Reader	Dustin Lynch
Calling My Spirit	Kodak Black
Tighten Up	The Black Keys
Marry Me	Train
Mama’s Broken Heart	Miranda Lambert
As She’s Walking Away	Zac Brown Band Featuring Alan Jackson
Mmm Yeah	Austin Mahone Featuring Pitbull
Easy	Sheryl Crow
Fight Night	Migos
Blasé	Ty Dolla $ign Featuring Future & Rae Sremmurd
Everything’s Gonna Be Alright	David Lee Murphy & Kenny Chesney
Young and Beautiful	Lana Del Rey
50 Ways to Say Goodbye	Train
Be Real	Kid Ink Featuring DeJ Loaf
Flex (Ooh, Ooh, Ooh)	Rich Homie Quan
Video Phone (Extended Remix)	Beyonce Featuring Lady Gaga
Welcome to My Hood	DJ Khaled Featuring Rick Ross, Plies, Lil Wayne & T-Pain
Let Me Go	Avril Lavigne Featuring Chad Kroeger
Take A Little Ride	Jason Aldean
Highway 20 Ride	Zac Brown Band
Call You Mine	The Chainsmokers & Bebe Rexha
To the Max	DJ Khaled Featuring Drake
Blue Tacoma	Russell Dickerson
Jet Lag	Future & Juice WRLD Featuring Young Scooter
Slow Down	Selena Gomez
Just A Kiss	Lady Antebellum
Why Don’t We Just Dance	Josh Turner
She’s with Me	High Valley
Poetic Justice	Kendrick Lamar Featuring Drake
I Like Me Better	Lauv
Setting Fires	The Chainsmokers Featuring XYLO
Wildflower	The JaneDear Girls
Your Body	Christina Aguilera
Beautiful Monster	Ne-Yo
Drip	Cardi B Featuring Migos
Drinkin’ Problem	Midland
Play Hard	David Guetta Featuring Ne-Yo & Akon
​asmr	21 Savage
Go Hard or Go Home	Wiz Khalifa & Iggy Azalea
Sweater Weather	The Neighbourhood
Follow God	Kanye West
Barbie Tingz	Nicki Minaj
​​no tears left to cry	Ariana Grande
Clarity	Zedd Featuring Hayley Williams
Clarity	Zedd Featuring Foxes
Yeah 3x	Chris Brown
Love You Like That	Canaan Smith
Dirt Road Anthem	Jason Aldean
In My Blood	Shawn Mendes
Can’t Be Tamed	Miley Cyrus
Always Remember Us This Way	Lady Gaga
Whataya Want From Me	Adam Lambert
Time Is Love	Josh Turner
All We Know	The Chainsmokers Featuring Phoebe Ryan
I Never Told You	Colbie Caillat
Cash Shit	Megan Thee Stallion Featuring DaBaby
Meanwhile Back at Mama’s	Tim McGraw Featuring Faith Hill
Bad Liar	Imagine Dragons
Happier	Ed Sheeran
All About It	Hoodie Allen Featuring Ed Sheeran
Beautiful Crazy	Luke Combs
Wild for the Night	A$AP Rocky Featuring Skrillex
Earth	Lil Dicky
Chandelier	Sia
I Don’t Like It, I Love It	Flo Rida Featuring Robin Thicke & Verdine White
Say You Do	Dierks Bentley
Tattoos On This Town	Jason Aldean
Bon, Bon	Pitbull
Alive	Krewella
Venom	Eminem
Wiggle	Jason Derulo Featuring Snoop Dogg
Mark My Words	Justin Bieber
Delirious (Boneless)	Steve Aoki, Chris Lake & Tujamo Featuring Kid Ink
About You	Trey Songz
The Man	Aloe Blacc
Are You Gonna Kiss Me or Not	Thompson Square
Grenade	Bruno Mars
One That Got Away	Michael Ray
She’s So Mean	matchbox twenty
Paramedic!	SOB X RBE
Talking Body	Tove Lo
Give a Little More	Maroon 5
I Wanna Dance with Somebody (Who Loves Me)	Whitney Houston
Easier	5 Seconds Of Summer
Nowadays	Lil Skies Featuring Landon Cube
Every Teardrop Is a Waterfall	Coldplay
Hello, Good Morning	Diddy - Dirty Money Featuring T.I.
Compass	Lady Antebellum
ATM	J. Cole
Graveyard	Halsey
Hair	Lady Gaga
Made for Now	Janet & Daddy Yankee
Live from the Gutter	Drake & Future
Stir Fry	Migos
Smoke a Little Smoke	Eric Church
Cooler Than Me	Mike Posner
I’ve Been Waiting	Lil Peep & iLoveMakonnen Featuring Fall Out Boy
​ghostin	Ariana Grande
Rich & Sad	Post Malone
Privacy	Chris Brown
Mercy	Brett Young
Ridin’ Roads	Dustin Lynch
Blessings (Reprise)	Chance The Rapper Featuring Ty Dolla $ign
Astronauts	Future & Juice WRLD
Wrecking Ball	Miley Cyrus
Shallow	Lady Gaga & Bradley Cooper
Lost in the Fire	Gesaffelstein & The Weeknd
Dangerous	David Guetta Featuring Sam Martin
Yellow Hearts	Ant Saunders
Mr. Wrong	Mary J. Blige Featuring Drake
Work Out	J. Cole
Yeah Boy	Kelsea Ballerini
The Worst	Jhene Aiko
Pure Imagination	Glee Cast
Make Me Like You	Gwen Stefani
5-1-5-0	Dierks Bentley
Buy Me a Boat	Chris Janson
1.5	21 Savage
Peter Pan	Kelsea Ballerini
10,000 Hours	Dan + Shay & Justin Bieber
Break on Me	Keith Urban
Turn Around (5, 4, 3, 2, 1)	Flo Rida
Every Little Thing	Carly Pearce
Out the Mud	Lil Baby Featuring Future
Taylor Swift - End Game ft. Ed Sheeran & Future (Deutsche Übersetzung)	Taylor Swift Featuring Ed Sheeran & Future
Dark Side	Kelly Clarkson
Right There	Nicole Scherzinger Featuring 50 Cent
Monster	Imagine Dragons
Selfish	PnB Rock
Temporary Fix	One Direction
Alone With You	Jake Owen
One Hell Of An Amen	Brantley Gilbert
SICKO MODE	Travis Scott
Birthday	Katy Perry
Capsize	Frenship & Emily Warren
It Won’t Stop (Remix)	Sevyn Streeter Featuring Chris Brown
Dance Monkey	Tones And I
365	Zedd & Katy Perry
Playing Games	Summer Walker
Frick Park Market	Mac Miller
We Can’t Stop	Miley Cyrus
Ocean	TK Kravitz Featuring Jacqueez
THat Part	ScHoolboy Q Featuring Kanye West
Be Careful	Cardi B
...Ready for It?	Taylor Swift
Like I’m Gonna Lose You	Meghan Trainor Featuring John Legend
Small Town Boy	Dustin Lynch
Greatest Love Story	LANCO
Curve	Gucci Mane Featuring The Weeknd
I Think He Knows	Taylor Swift
Anywhere With You	Jake Owen
Ville Mentality	J. Cole
What the Hell	Avril Lavigne
Ride	twenty one pilots
Mr. Saxobeat	Alexandra Stan
Hello World	Lady Antebellum
How I’ll Always Be	Tim McGraw
Cool for the Summer	Demi Lovato
I Can’t Go for That / You Make My Dreams	Glee Cast
Burning House	Cam
Take Me Home	Cash Cash Featuring Bebe Rexha
Pretty Boy Swag	Soulja Boy Tell'em
Hope	XXXTENTACION
Wild Things	Alessia Cara
Unforgettable	Thomas Rhett
Homesick	Kane Brown
Me and Your Mama	Childish Gambino
All I Ever Wanted	Kelly Clarkson
Smooth	Florida Georgia Line
Candy Paint	Post Malone
Bailando	Enrique Iglesias Featuring Descemer Bueno & Gente de Zona
Uptown Funk	Mark Ronson Featuring Bruno Mars
Amen	Meek Mill Featuring Drake
Hotel Key	Old Dominion
Best Friend	Young Thug
Lettin’ the Night Roll	Justin Moore
New Music Friday 08/10/18	Quavo
Nightmare	Halsey
Fake Love	Drake
This Is It	Scotty McCreery
Thinking Out Loud	Ed Sheeran
Neon Lights	Demi Lovato
The Cure	Lady Gaga
The Monster	Eminem Featuring Rihanna
The Monster	Rihanna Featuring Drake
Work	Eminem Featuring Rihanna
Work	Rihanna Featuring Drake
B.M.F. (Blowin’ Money Fast)	Rick Ross Featuring Styles P
If We Ever Meet Again	Timbaland Featuring Katy Perry
Love Myself	Hailee Steinfeld
La La La	Naughty Boy Featuring Sam Smith
E.T. (Remix)	Katy Perry Featuring Kanye West
The Wind	Zac Brown Band
Cut It	O.T. Genasis Featuring Young Dolph
Reminder	The Weeknd
Fight Song	Rachel Platten
We Don’t Talk Anymore	Charlie Puth Featuring Selena Gomez
Powerful	Major Lazer Featuring Ellie Goulding & Tarrus Riley
Holy Grail	Jay Z Featuring Justin Timberlake
Superheroes	The Script
Outta My Head	Craig Campbell
Middle of a Memory	Cole Swindell
Here Tonight	Brett Young
Break the Rules	Charli XCX
Breakeven	The Script
Too Much to Ask	Niall Horan
​imagine	Ariana Grande
My Moment	DJ Drama Featuring 2 Chainz, Meek Mill & Jeremih
Overdose	YoungBoy Never Broke Again
Congratulations	Post Malone Featuring Quavo
Act Up	City Girls
6 God	Drake
Glad You Came	The Wanted
Lean And Dabb	iLoveMemphis
Toot It And Boot It	YG
Girls Talk Boys	5 Seconds Of Summer
FAKE LOVE	BTS
Countdown	Beyonce
Unforgettable	French Montana Featuring Swae Lee
Leave Your Lover	Sam Smith
Whistle	Flo Rida
Close Your Eyes	Parmalee
What Makes You Country	Luke Bryan
Ass Back Home	Gym Class Heroes Featuring Neon Hitch
Your Love	Nicki Minaj
22	Taylor Swift
She Twerkin	Ca$h Out
To the World	Kanye West, R. Kelly
Tear in My Heart	twenty one pilots
Woohoo	Christina Aguilera Featuring Nicki Minaj
Beat It	Sean Kingston Featuring Chris Brown & Wiz Khalifa
She Don’t Put It Down	Joe Budden Featuring Lil Wayne & Tank
They Don’t Know	Jason Aldean
1994	Jason Aldean
Nice For What	Drake
Fade	Kanye West
Feel No Ways	Drake
Set Fire to the Rain	Adele
Strong	One Direction
Nice to Meet Ya	Niall Horan
Red Opps	21 Savage
Stressed Out	twenty one pilots
Truck Yeah	Tim McGraw
Sweet Love	Chris Brown
Steady Mobbin’	Young Money Featuring Gucci Mane
Dear Future Husband	Meghan Trainor
Good Kisser	Usher
Some of It	Eric Church
Ophelia	The Lumineers
You and Your Heart	Jack Johnson
Fireflies	Owl City
Take It from Me	Jordan Davis
I Feel It Coming	The Weeknd Featuring Daft Punk
She Ain’t You	Chris Brown
Runaway	Kanye West Featuring Pusha T
I Was Jack (You Were Diane)	Jake Owen
Shower	Becky G
Back to December	Taylor Swift
Hooked	Dylan Scott
I Can Only Imagine	David Guetta Featuring Chris Brown & Lil Wayne
Drop the World	Lil Wayne Featuring Eminem
I Keep On Lovin’ You	Reba
44 More	Logic
​thank u, next	Ariana Grande
Scared to Be Lonely	Martin Garrix & Dua Lipa
SAD!	XXXTENTACION
HIGHEST IN THE ROOM	Travis Scott
Hot Now	YoungBoy Never Broke Again
Stubborn Love	The Lumineers
Back to Black	Glee Cast
Cheyenne	Jason Derulo
Be Alright	Dean Lewis
Back in Time	Pitbull
A Little More Summertime	Jason Aldean
Again	Fetty Wap
How I Feel	Flo Rida
Another Way to Die	Disturbed
Waka Waka (This Time for Africa)	Shakira Featuring Freshlyground
New Flame	Chris Brown Featuring Usher & Rick Ross
Rollin	Calvin Harris Featuring Future & Khalid
Over You	Miranda Lambert
She Will	Lil Wayne Featuring Drake
Love and War	Tamar Braxton
1901	Phoenix
Paranoid	Post Malone
Tennessee Whiskey	Chris Stapleton
Better Than I Know Myself	Adam Lambert
Solo	Iyaz
All Me	Drake Featuring 2 Chainz & Big Sean
Young, Dumb & Broke, Bank Account, & Bodak Yellow Mashup	Cardi B
Young Girls	Bruno Mars
Team	Lorde
What Happens in a Small Town	Brantley Gilbert + Lindsay Ell
Pompeii	Bastille
All The Stars	Kendrick Lamar & SZA
You Belong with Me	Taylor Swift
Speechless	Dan + Shay
Stay	Florida Georgia Line
Everybody Dies in Their Nightmares	XXXTENTACION
When She Says Baby	Jason Aldean
Lolly	Maejor Ali Featuring Juicy J & Justin Bieber
Look at Me Now	Chris Brown Featuring Lil Wayne & Busta Rhymes
Gucci Flip Flops	Bhad Bhabie Featuring Lil Yachty
Tornado	Little Big Town
I Don’t Care	Ed Sheeran & Justin Bieber
Truth Hurts	Lizzo
Do I Make You Wanna	Billy Currington
Loser Like Me	Glee Cast
Yoga	Janelle Monae & Jidenna
BedRock	Young Money Featuring Lloyd
Brand New	Ben Rector
Love Is An Open Door	Kristen Bell & Santino Fontana
The Language	Drake
Alright	Kendrick Lamar
My Girl	Dylan Scott
Pure Water	Mustard & Migos
Adicto	Tainy, Anuel AA & Ozuna
All Eyez	The Game Featuring Jeremih
She’s Got a Way With Words	Blake Shelton
Love All Over Me	Monica
Pop That	French Montana Featuring Rick Ross, Drake, Lil Wayne
Riptide	Vance Joy
Piece by Piece	Kelly Clarkson
Omertà	Drake
Truffle Butter	Nicki Minaj Featuring Drake & Lil Wayne
Nasty	Bandit Gang Marco Featuring Dro
Splashin	Rich The Kid
Stand By You	Rachel Platten
Me Too	Meghan Trainor
Demons and Angels	A Boogie Wit da Hoodie Featuring Juice WRLD
Bed	Nicki Minaj Featuring Ariana Grande
Dangerous	Meek Mill Featuring Jeremih & PnB Rock
Best Thing I Never Had	Beyonce
Shotgun Rider	Tim McGraw
Remember You Young	Thomas Rhett
Close	Nick Jonas Featuring Tove Lo
We R Who We R	Ke$ha
Who Do You Love?	YG Featuring Drake
Get Dripped	Lil Yachty Featuring Playboi Carti
Drink To That All Night	Jerrod Niemann
Drank In My Cup	Kirko Bangz
Alone	Marshmello
Til My Last Day	Justin Moore
X	Chris Brown
Trouble	Iggy Azalea Featuring Jennifer Hudson
Backwoods	Justin Moore
Can’t Get Enough	J. Cole Featuring Trey Songz
First Day Out	Tee Grizzley
Friday	Glee Cast
For Whom the Bell Tolls	J. Cole
Nothing Breaks Like a Heart	Mark Ronson Featuring Miley Cyrus
Give Me Back My Hometown	Eric Church
Lamborghini Angels	Lupe Fiasco
Somebody Else Will	Justin Moore
Bounce It	Juicy J Featuring Wale & Trey Songz
Not a Bad Thing	Justin Timberlake
Woman, Amen	Dierks Bentley
Ocean	Martin Garrix Featuring Khalid
PICK IT UP	Famous Dex Featuring A$AP Rocky
Good Girl	Dustin Lynch
Perfect	One Direction
The Bones	Maren Morris
Child’s Play	Drake
Double Vision	3OH!3
Pray	Justin Bieber
Controlla	Drake
Jack Sparrow	The Lonely Island Featuring Michael Bolton
What We Ain’t Got	Jake Owen
Lean Wit Me	Juice WRLD
Marry Me	Jason Derulo
Thotiana	Blueface
Fancy	Iggy Azalea Featuring Charli XCX
On My Way to You	Cody Johnson
Look Back at It	A Boogie Wit da Hoodie
The One That Got Away	Katy Perry
Old Alabama	Brad Paisley Featuring Alabama
No Church in the Wild	Jay Z Kanye West Featuring Frank Ocean
M.I.L.F. $	Fergie
Swish Swish	Katy Perry Featuring Nicki Minaj
A Woman Like You	Lee Brice
Get Low	Dillon Francis & DJ Snake
Ain’t Worth the Whiskey	Cole Swindell
The Archer	Taylor Swift
Sixteen	Thomas Rhett
Change	J. Cole
Somewhere With You	Kenny Chesney
What They Want	Russ
Kissin U	Miranda Cosgrove
Emperor’s New Clothes	Panic! At The Disco
Don’t	Bryson Tiller
Long Hot Summer	Keith Urban
Blow	Ke$ha
Safety Dance	Glee Cast
Keanu Reeves	Logic
Raging Fire	Phillip Phillips
​do re mi	blackbear
Porn Star Dancing	My Darkest Days Featuring Zakk Wylde
Don’t Ya	Brett Eldredge
Treat You Better	Shawn Mendes
Blue Christmas	Elvis Presley
I’m Upset	Drake
Ballin’	Mustard & Roddy Ricch
Who Gon Stop Me	Jay Z Kanye West
The Man	Taylor Swift
The Story of Us	Taylor Swift
Clique	Kanye West, Jay-Z, Big Sean
The Cut Off	J. Cole Featuring kiLL edward
Ready Set Roll	Chase Rice
Hymn for the Weekend	Coldplay
Blackout	Breathe Carolina
Somebody to Love (Remix)	Justin Bieber Featuring Usher
Russian Roulette	Rihanna
Play No Games	Big Sean Featuring Chris Brown & Ty Dolla $ign
Somebody to Love	Jordan Smith
Beer Never Broke My Heart	Luke Combs
Outside Today	YoungBoy Never Broke Again
Happy Holiday/The Holiday Season	Andy Williams
Crawl	Chris Brown
Hello	Martin Solveig & Dragonette
Bound 2	Kanye West
Give Your Heart a Break	Demi Lovato
Survival	Eminem
Psycho	Post Malone Featuring Ty Dolla $ign
Go Loko	YG, Tyga & Jon Z
Like I Loved You	Brett Young
​my strange addiction	Billie Eilish
Who Says	Selena Gomez & The Scene
Immortals	Fall Out Boy
Call Me Maybe	Carly Rae Jepsen
Barefoot Blue Jean Night	Jake Owen
Come Thru	Summer Walker & Usher
All Mine	Kanye West
All of Me	John Legend
Fistful of Tears	Maxwell
El Amante	Nicky Jam
Beat of the Music	Brett Eldredge
How Many Times	DJ Khaled Featuring Chris Brown, Lil Wayne & Big Sean
Unstoppable	Rascal Flatts
Why Wait	Rascal Flatts
Donald Trump	Mac Miller
Shameless	Camila Cabello
Knock Knock	Mac Miller
Secrets	Mary Lambert
King of Anything	Sara Bareilles
You	Chris Young
Too Good at Goodbyes	Sam Smith
I Wanna Rock	Snoop Dogg
Finesse (Remix)	Bruno Mars & Cardi B
Freak the Freak Out	Victorious Cast Featuring Victoria Justice
Roses	The Chainsmokers Featuring Rozes
Everything I Shouldn’t Be Thinking About	Thompson Square
Stereo Hearts	Glee Cast
Locked Out of Heaven	Bruno Mars
Buy My Own Drinks	Runaway June
Better With the Lights Off	New Boyz Feat. Chris Brown
Ice Tray	Quavo & Lil Yachty
​fake smile	Ariana Grande
The Race	Tay-K
Bright	Echosmith
Not Myself Tonight	Christina Aguilera
Uproar	Lil Wayne
I Love You This Big	Scotty McCreery
We the People....	A Tribe Called Quest
Let Me Know (I Wonder Why Freestyle)	Juice WRLD
Leave the Night On	Sam Hunt
Like Jesus Does	Eric Church
Wagon Wheel	Darius Rucker
​you should see me in a crown	Billie Eilish
Postcard from Paris	The Band Perry
Let Me See Ya Girl	Cole Swindell
GIRL	Maren Morris
Big Ole Freak	Megan Thee Stallion
Dark Knight Dummo	Trippie Redd Featuring Travis Scott
Rearview Town	Jason Aldean
Raise ’Em Up	Keith Urban Featuring Eric Church
Right There	Ariana Grande Featuring Big Sean
Crushin’ It	Brad Paisley
My Oh My	Camila Cabello Featuring DaBaby
Summer Nights	Glee Cast
I Don’t Know About You	Chris Lane
You Da One	Rihanna
Work	Iggy Azalea
Underneath the Tree	Kelly Clarkson
Better Dig Two	The Band Perry
Into the Unknown	Idina Menzel & AURORA
I See You	Luke Bryan
Dance (A$$) (Remix)	Big Sean Featuring Nicki Minaj
Something in the Way You Move	Ellie Goulding
​everything i wanted	Billie Eilish
Red Roses	Lil Skies Featuring Landon Cube
Who Booty	Jonn Hart Featuring IamSU!
Irresistible	Fall Out Boy
Triggered (freestyle)	Jhene Aiko
Africa	Weezer
Smoke In Peace ( Roll In Peace) Reject Remix ( Kodak Black , XXXtentacion)	Kodak Black Featuring XXXTENTACION
Tip of My Tongue	Kenny Chesney
XO	Beyonce
1Night	Lil Yachty
Slide	French Montana Featuring Blueface & Lil Tjay
The Hanging Tree	James Newton Howard Featuring Jennifer Lawrence
Worth It	Fifth Harmony Featuring Kid Ink
Empty	Juice WRLD
Cost of Livin’	Ronnie Dunn
Into the Unknown (Panic! at the Disco Version)	Panic! At The Disco
Tequila	Dan + Shay
Blood on the Leaves	Kanye West
I Do	Colbie Caillat
Downtown’s Dead	Sam Hunt
Love Someone	Brett Eldredge
Dive In	Trey Songz
Yeah	Joe Nichols
Exchange	Bryson Tiller
I Forgot That You Existed	Taylor Swift
Somebody to Love	Glee Cast
​when the party’s over	Billie Eilish
Gucci Gang	Lil Pump
Slide Away	Miley Cyrus
Ghost Town	Adam Lambert
ESSKEETIT	Lil Pump
Chocolate	The 1975
Man Down	Rihanna
Country Must Be Country Wide	Brantley Gilbert
Last Friday Night (T.G.I.F.)	Katy Perry
Impossible	Shontelle
Love Lies	Khalid & Normani
Eenie Meenie	Sean Kingston & Justin Bieber
Rocketeer	Far*East Movement Featuring Ryan Tedder
Wild Thoughts	DJ Khaled Featuring Rihanna & Bryson Tiller
Rolling in the Deep	Glee Cast Featuring Jonathan Groff
You Lie	The Band Perry
Ai Se Eu Te Pego	Michel Telo
Wat U Mean (Aye, Aye, Aye)	Dae Dae
Miss Jackson	Panic! At The Disco Featuring Lolo
Cheers (Drink to That)	Rihanna
100	The Game Featuring Drake
Christmas (Baby Please Come Home)	Darlene Love
Smoke Break	Carrie Underwood
Anything Goes	Florida Georgia Line
Bottoms Up	Brantley Gilbert
Banjo	Rascal Flatts
Sorry for Party Rocking	LMFAO
Worst Behavior	Drake
Love Never Felt So Good	Michael Jackson & Justin Timberlake
One Way Or Another (Teenage Kicks)	One Direction
Bed of Lies	Nicki Minaj Featuring Skylar Grey
May We All	Florida Georgia Line Featuring Tim McGraw
Good Vibes	Chris Janson
Burning Man	Dierks Bentley Featuring Brothers Osborne
I’ll Never Love Again (Extended Version)	Lady Gaga
Cryin’ Like a Bitch	Godsmack
Got Your Back	T.I. Featuring Keri Hilson
Rodeo	Lil Nas X & Cardi B Or Nas
Get Used to It	Justin Bieber
Fuck Up Some Commas	Future
PRBLMS	6LACK
Little Bit Of You	Chase Bryant
Wings	Little Mix
How to Love	Lil Wayne
Soon You’ll Get Better	Taylor Swift Featuring Dixie Chicks
If I Told You	Darius Rucker
What Do You Mean?	Justin Bieber
Skyscraper	Demi Lovato
Chasing The Sun	The Wanted
​out for the night	21 Savage
The Night Is Still Young	Nicki Minaj
Sit Next to Me	Foster The People
King Wizard	Kid Cudi
Fire & Desire	Drake
YAH.	Kendrick Lamar
Send My Love (To Your New Lover)	Adele
Smile	Avril Lavigne
Touchin’ Lovin’	Trey Songz Featuring Nicki Minaj
C’mon	Ke$ha
Find Your Love	Drake
I Cry	Flo Rida
My Boo	Ghost Town DJ's
Like That	Kris Wu
New Slaves	Kanye West
Hey Girl	Billy Currington
No Roots	Alice Merton
Starving	Hailee Steinfeld & Grey Featuring Zedd
I Pray	Red Marlow
What Makes You Beautiful	One Direction
Redemption	Drake
Motivation	Kelly Rowland Featuring Lil Wayne
Losin Control	Russ
Dance Again	Jennifer Lopez Featuring Pitbull
Yours If You Want It	Rascal Flatts
New Music Friday 06/24/16	Lil Wayne, Wiz Khalifa & Imagine Dragons With Logic & Ty Dolla $ign Feat. X Ambassadors
143	Bobby Brackins Featuring Ray J
Hold On, We’re Going Home	Drake Featuring Majid Jordan
Whip My Hair	WILLOW
Memories	David Guetta Featuring Kid Cudi
Codeine Dreaming	Kodak Black Featuring Lil Wayne
Closer	Tegan And Sara
Backseat	New Boyz Featuring The Cataracs & Dev
Turn the Night Up	Enrique Iglesias
Ask Me How I Know	Garth Brooks
Everyday	Logic & Marshmello
Heart Like Mine	Miranda Lambert
I Will Always Love You	Whitney Houston
I Can Take It From There	Chris Young
Every Little Thing	Russell Dickerson
Girl on Fire (Inferno Version)	Alicia Keys Featuring Nicki Minaj
Beautiful People	Ed Sheeran Featuring Khalid
Never Be the Same	Camila Cabello
Oh Santa!	Mariah Carey
​gun smoke	21 Savage
Kiss Somebody	Morgan Evans
Party Monster	The Weeknd
I THINK	Tyler, The Creator
BOSS	The Carters
Tie Me Down	New Boyz Featuring Ray J
It Girl	Jason Derulo
Haven’t Met You Yet	Michael Buble
I Want Crazy	Hunter Hayes
I Got A Car	George Strait
Earned It (Fifty Shades of Grey)	The Weeknd
Unconditionally	Katy Perry
Christmas Lights	Coldplay
Radioactive	Imagine Dragons
One Number Away	Luke Combs
Maps	Maroon 5
Midnight	Coldplay
Draco	Future
Alice	Avril Lavigne
No Heart	21 Savage & Metro Boomin
Heartbreak Warfare	John Mayer
Did It Again	Lil Tecca
I’m Gonna Love You Through It	Martina McBride
Rich	Maren Morris
Lost Boy	Ruth B
Slave to the Rhythm	Michael Jackson
Stay	Post Malone
Wake Me Up	Avicii
